lp_id,lp_name,country,cable_count
qalhat-oman,"Qalhat, Oman",Oman,2
qingdao-china,"Qingdao, China",China,2
playa-blanca-canary-islands-spain,"Playa Blanca, Canary Islands, Spain",Spain,2
quy-nhon-vietnam,"Quy Nhon, Vietnam",Vietnam,2
raglan-new-zealand,"Raglan, New Zealand",New Zealand,2
jimbaran-indonesia,"Jimbaran, Indonesia",Indonesia,2
keawaula-hi-united-states,"Keawaula, HI, United States",United States,2
mentigi-indonesia,"Mentigi, Indonesia",Indonesia,2
jayapura-indonesia,"Jayapura, Indonesia",Indonesia,2
kitakyushu-japan,"Kitakyushu, Japan",Japan,2
port-hedland-wa-australia,"Port Hedland, WA, Australia",Australia,2
koko-head-hi-united-states,"Koko Head, HI, United States",United States,2
port-grenaugh-isle-of-man,"Port Grenaugh, Isle of Man",Isle of Man,2
kotka-finland,"Kotka, Finland",Finland,2
port-vila-vanuatu,"Port Vila, Vanuatu",Vanuatu,2
kodiak-ak-united-states,"Kodiak, AK, United States",United States,2
kochi-india,"Kochi, India",India,2
porthcurno-united-kingdom,"Porthcurno, United Kingdom",United Kingdom,2
klagshamn-sweden,"Klagshamn, Sweden",Sweden,2
porto-novo-cape-verde,"Porto Novo, Cape Verde",Cape Verde,2
kitadaito-japan,"Kitadaito, Japan",Japan,2
minamidaito-japan,"Minamidaito, Japan",Japan,2
portsmouth-united-kingdom,"Portsmouth, United Kingdom",United Kingdom,2
merauke-indonesia,"Merauke, Indonesia",Indonesia,2
nongsa-indonesia,"Nongsa, Indonesia",Indonesia,2
kilmore-quay-ireland,"Kilmore Quay, Ireland",Ireland,2
prince-rupert-bc-canada,"Prince Rupert, BC, Canada",Canada,2
kihei-hi-united-states,"Kihei, HI, United States",United States,2
khasab-oman,"Khasab, Oman",Oman,2
krst-norway,"Kårstø, Norway",Norway,2
ketapang-indonesia,"Ketapang, Indonesia",Indonesia,2
kuala-sedili-malaysia,"Kuala Sedili, Malaysia",Malaysia,2
miyazaki-japan,"Miyazaki, Japan",Japan,2
ngeremlengui-palau,"Ngeremlengui, Palau",Palau,2
mt-lavinia-sri-lanka,"Mt. Lavinia, Sri Lanka",Sri Lanka,2
netanya-israel,"Netanya, Israel",Israel,2
hitiaa-french-polynesia,"Hitia'a, French Polynesia",French Polynesia,2
petropavlovsk-kamchatsky-russia,"Petropavlovsk-Kamchatsky, Russia",Russia,2
petersburg-ak-united-states,"Petersburg, AK, United States",United States,2
highbridge-united-kingdom,"Highbridge, United Kingdom",United Kingdom,2
saints-bay-guernsey,"Saints Bay, Guernsey",Guernsey,2
new-plymouth-new-zealand,"New Plymouth, New Zealand",New Zealand,2
helsingr-denmark,"Helsingør, Denmark",Denmark,2
pesaren-indonesia,"Pesaren, Indonesia",Indonesia,2
medan-indonesia,"Medan, Indonesia",Indonesia,2
noumea-new-caledonia,"Noumea, New Caledonia",New Caledonia,2
peel-isle-of-man,"Peel, Isle of Man",Isle of Man,2
saeby-denmark,"Saeby, Denmark",Denmark,2
mazatln-mexico,"Mazatlán, Mexico",Mexico,2
helsingborg-sweden,"Helsingborg, Sweden",Sweden,2
sal-rei-cape-verde,"Sal Rei, Cape Verde",Cape Verde,2
hawksbill-bahamas,"Hawksbill, Bahamas",Bahamas,2
nesna-norway,"Nesna, Norway",Norway,2
konstanz-germany,"Konstanz, Germany",Germany,2
novo-airo-brazil,"Novo Airão, Brazil",Brazil,2
neiafu-tonga,"Neiafu, Tonga",Tonga,2
nukualofa-tonga,"Nuku'alofa, Tonga",Tonga,2
moura-brazil,"Moura, Brazil",Brazil,2
sagunto-spain,"Sagunto, Spain",Spain,2
las-caletillas-spain,"Las Caletillas, Spain",Spain,2
la-union-philippines,"La Union, Philippines",Philippines,2
igiugig-ak-united-states,"Igiugig, AK, United States",United States,2
laeso-denmark,"Laeso, Denmark",Denmark,2
itoman-japan,"Itoman, Japan",Japan,2
istanbul-turkey,"Istanbul, Turkey",Turkey,2
melilla-spain,"Melilla, Spain",Spain,2
ishikari-japan,"Ishikari, Japan",Japan,2
ilyich-russia,"Ilyich, Russia",Russia,2
iloilo-city-philippines,"Iloilo City, Philippines",Philippines,2
rnne-denmark,"Rønne, Denmark",Denmark,2
ijmuiden-netherlands,"Ijmuiden, Netherlands",Netherlands,2
pile-bay-ak-united-states,"Pile Bay, AK, United States",United States,2
huxi-township-taiwan,"Huxi Township, Taiwan",Taiwan,2
newcastle-united-kingdom,"Newcastle, United Kingdom",United Kingdom,2
piedra-santa-spain,"Piedra Santa, Spain",Spain,2
lampedusa-italy,"Lampedusa, Italy",Italy,2
lancresse-bay-guernsey,"L'Ancresse Bay, Guernsey",Guernsey,2
landeyjar-iceland,"Landeyjar, Iceland",Iceland,2
roxas-philippines,"Roxas, Philippines",Philippines,2
lannion-france,"Lannion, France",France,2
lantau-island-china,"Lantau Island, China",China,2
larvik-norway,"Larvik, Norway",Norway,2
holyhead-united-kingdom,"Holyhead, United Kingdom",United Kingdom,2
ryde-united-kingdom,"Ryde, United Kingdom",United Kingdom,2
punta-carnero-ecuador,"Punta Carnero, Ecuador",Ecuador,2
nangan-taiwan,"Nangan, Taiwan",Taiwan,2
tef-brazil,"Tefé, Brazil",Brazil,2
brookvale-nsw-australia,"Brookvale, NSW, Australia",Australia,2
whitesands-bay-united-kingdom,"Whitesands Bay, United Kingdom",United Kingdom,2
whittier-ak-united-states,"Whittier, AK, United States",United States,2
butuan-city-philippines,"Butuan City, Philippines",Philippines,2
supiori-indonesia,"Supiori, Indonesia",Indonesia,2
sungsang-indonesia,"Sungsang, Indonesia",Indonesia,2
sungailiat-indonesia,"Sungailiat, Indonesia",Indonesia,2
benghazi-libya,"Benghazi, Libya",Libya,2
